days_of_stock_remaining,stock_pct,bed_occupancy_pct,staff_attendance_pct,patient_footfall_daily,is_remote,demand_trend_pct,district_alert_density,risk_label
1.5,8,92,60,180,1,35,3,94
2.0,12,88,65,150,1,28,2,88
3.5,20,75,70,120,0,15,1,65
0.8,5,95,55,220,1,42,4,97
5.0,35,60,85,90,0,5,0,35
1.2,7,90,58,200,1,38,3,95
4.0,28,68,80,100,0,10,1,45
2.5,15,80,72,140,1,22,2,78
6.0,42,55,90,80,0,2,0,25
1.8,10,85,62,170,1,30,3,89
3.0,18,78,74,130,0,18,1,60
0.5,3,98,50,250,1,45,5,99
5.5,38,58,88,85,0,4,0,28
2.2,13,82,68,155,1,25,2,80
4.5,30,65,82,95,0,8,1,40
1.0,6,93,57,210,1,40,4,96
3.8,22,73,76,115,0,14,1,58
2.8,17,79,71,135,1,20,2,75
6.5,45,52,92,75,0,1,0,20
1.4,9,89,59,190,1,33,3,91
4.2,26,70,79,105,0,11,1,48
0.9,4,96,52,230,1,43,4,98
5.2,36,59,86,88,0,6,0,30
2.6,16,81,73,145,1,24,2,77
3.3,19,76,75,125,0,16,1,55
1.6,8,87,63,175,1,29,3,87
4.8,32,63,84,92,0,7,1,38
2.0,11,84,66,160,0,19,2,68
5.8,40,56,89,78,0,3,0,22
0.7,4,97,51,240,1,44,5,98
